YEAR,MONTH,FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEP_DELAY_NEW,ARR_DELAY_NEW,CANCELLED,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_ARR_DELAY
2015,8,2015-08-29,F9,20436,F9,12953,LGA,"New York, NY",11292,DEN,"Denver, CO",11,0,0,1620,,,,,,
2015,8,2015-08-29,F9,20436,F9,12953,LGA,"New York, NY",10397,ATL,"Atlanta, GA",0,0,0,762,,,,,,
2015,8,2015-08-30,F9,20436,F9,12953,LGA,"New York, NY",11292,DEN,"Denver, CO",0,0,0,1620,,,,,,
2015,8,2015-08-30,F9,20436,F9,12953,LGA,"New York, NY",13303,MIA,"Miami, FL",0,0,0,1096,,,,,,
2015,8,2015-08-30,F9,20436,F9,12953,LGA,"New York, NY",10397,ATL,"Atlanta, GA",0,0,0,762,,,,,,
2015,8,2015-08-26,F9,20436,F9,12953,LGA,"New York, NY",11292,DEN,"Denver, CO",0,0,0,1620,,,,,,
2015,8,2015-08-26,F9,20436,F9,12953,LGA,"New York, NY",13303,MIA,"Miami, FL",0,32,0,1096,0,0,32,0,0,
2015,8,2015-08-26,F9,20436,F9,12953,LGA,"New York, NY",10397,ATL,"Atlanta, GA",0,0,0,762,,,,,,
2015,8,2015-08-01,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",31,42,0,4983,36,0,0,0,6,
2015,8,2015-08-02,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",51,45,0,4983,45,0,0,0,0,
2015,8,2015-08-03,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,10,0,4983,,,,,,
2015,8,2015-08-04,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,21,0,4983,21,0,0,0,0,
2015,8,2015-08-05,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,37,0,4983,37,0,0,0,0,
2015,8,2015-08-06,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,43,0,4983,43,0,0,0,0,
2015,8,2015-08-07,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",46,63,0,4983,63,0,0,0,0,
2015,8,2015-08-08,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,23,0,4983,23,0,0,0,0,
2015,8,2015-08-09,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,8,0,4983,,,,,,
2015,8,2015-08-10,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,11,0,4983,,,,,,
2015,8,2015-08-11,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,66,0,4983,66,0,0,0,0,
2015,8,2015-08-12,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,29,0,4983,29,0,0,0,0,
2015,8,2015-08-13,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,15,0,4983,15,0,0,0,0,
2015,8,2015-08-14,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,11,0,4983,,,,,,
2015,8,2015-08-15,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,0,0,4983,,,,,,
2015,8,2015-08-16,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",22,27,0,4983,27,0,0,0,0,
2015,8,2015-08-17,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,1,0,4983,,,,,,
2015,8,2015-08-18,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,0,0,4983,,,,,,
2015,8,2015-08-19,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",1,16,0,4983,16,0,0,0,0,
2015,8,2015-08-20,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,0,0,4983,,,,,,
2015,8,2015-08-21,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,17,0,4983,17,0,0,0,0,
2015,8,2015-08-22,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,18,0,4983,18,0,0,0,0,
2015,8,2015-08-23,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,12,0,4983,,,,,,
2015,8,2015-08-24,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,40,0,4983,40,0,0,0,0,
2015,8,2015-08-25,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,5,0,4983,,,,,,
2015,8,2015-08-26,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,42,0,4983,42,0,0,0,0,
2015,8,2015-08-27,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,27,0,4983,27,0,0,0,0,
2015,8,2015-08-28,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",8,14,0,4983,,,,,,
2015,8,2015-08-29,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,11,0,4983,,,,,,
2015,8,2015-08-30,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,5,0,4983,,,,,,
2015,8,2015-08-31,HA,19690,HA,12478,JFK,"New York, NY",12173,HNL,"Honolulu, HI",0,5,0,4983,,,,,,
2015,8,2015-08-02,MQ,20398,MQ,12953,LGA,"New York, NY",14122,PIT,"Pittsburgh, PA",0,0,0,335,,,,,,
2015,8,2015-08-09,MQ,20398,MQ,12953,LGA,"New York, NY",14122,PIT,"Pittsburgh, PA",0,0,0,335,,,,,,
2015,8,2015-08-16,MQ,20398,MQ,12953,LGA,"New York, NY",14122,PIT,"Pittsburgh, PA",41,10,0,335,,,,,,
2015,8,2015-08-01,MQ,20398,MQ,12953,LGA,"New York, NY",13931,ORF,"Norfolk, VA",0,0,0,296,,,,,,
2015,8,2015-08-07,MQ,20398,MQ,12953,LGA,"New York, NY",13931,ORF,"Norfolk, VA",18,14,0,296,,,,,,
2015,8,2015-08-08,MQ,20398,MQ,12953,LGA,"New York, NY",13931,ORF,"Norfolk, VA",86,67,0,296,11,0,0,0,56,
2015,8,2015-08-14,MQ,20398,MQ,12953,LGA,"New York, NY",13931,ORF,"Norfolk, VA",0,0,0,296,,,,,,
2015,8,2015-08-15,MQ,20398,MQ,12953,LGA,"New York, NY",13931,ORF,"Norfolk, VA",143,127,0,296,127,0,0,0,0,
2015,8,2015-08-02,MQ,20398,MQ,12953,LGA,"New York, NY",14524,RIC,"Richmond, VA",0,0,0,292,,,,,,
2015,8,2015-08-03,MQ,20398,MQ,12953,LGA,"New York, NY",14524,RIC,"Richmond, VA",55,50,0,292,31,0,0,0,19,
2015,8,2015-08-04,MQ,20398,MQ,12953,LGA,"New York, NY",14524,RIC,"Richmond, VA",114,113,0,292,0,0,0,0,113,
2015,8,2015-08-05,MQ,20398,MQ,12953,LGA,"New York, NY",14524,RIC,"Richmond, VA",113,101,0,292,4,0,0,0,97,
2015,8,2015-08-06,MQ,20398,MQ,12953,LGA,"New York, NY",14524,RIC,"Richmond, VA",65,73,0,292,0,0,8,0,65,
2015,8,2015-08-09,MQ,20398,MQ,12953,LGA,"New York, NY",14524,RIC,"Richmond, VA",40,27,0,292,1,0,0,0,26,
2015,8,2015-08-10,MQ,20398,MQ,12953,LGA,"New York, NY",14524,RIC,"Richmond, VA",,,1,292,,,,,,
2015,8,2015-08-11,MQ,20398,MQ,12953,LGA,"New York, NY",14524,RIC,"Richmond, VA",11,45,0,292,0,7,34,0,4,
2015,8,2015-08-12,MQ,20398,MQ,12953,LGA,"New York, NY",14524,RIC,"Richmond, VA",80,72,0,292,6,0,0,0,66,
2015,8,2015-08-13,MQ,20398,MQ,12953,LGA,"New York, NY",14524,RIC,"Richmond, VA",8,0,0,292,,,,,,
2015,8,2015-08-16,MQ,20398,MQ,12953,LGA,"New York, NY",14524,RIC,"Richmond, VA",0,0,0,292,,,,,,
2015,8,2015-08-01,MQ,20398,MQ,12953,LGA,"New York, NY",14100,PHL,"Philadelphia, PA",0,0,0,96,,,,,,
2015,8,2015-08-08,MQ,20398,MQ,12953,LGA,"New York, NY",14100,PHL,"Philadelphia, PA",0,5,0,96,,,,,,
2015,8,2015-08-15,MQ,20398,MQ,12953,LGA,"New York, NY",14100,PHL,"Philadelphia, PA",0,0,0,96,,,,,,
2015,8,2015-08-03,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",8,0,0,461,,,,,,
2015,8,2015-08-04,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",0,0,0,461,,,,,,
2015,8,2015-08-05,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",0,0,0,461,,,,,,
2015,8,2015-08-06,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",0,0,0,461,,,,,,
2015,8,2015-08-07,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",0,11,0,461,,,,,,
2015,8,2015-08-10,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",23,25,0,461,23,0,2,0,0,
2015,8,2015-08-11,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",0,0,0,461,,,,,,
2015,8,2015-08-12,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",29,29,0,461,29,0,0,0,0,
2015,8,2015-08-13,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",0,14,0,461,,,,,,
2015,8,2015-08-14,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",0,0,0,461,,,,,,
2015,8,2015-08-17,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",23,6,0,461,,,,,,
2015,8,2015-08-03,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",0,0,0,502,,,,,,
2015,8,2015-08-04,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",0,22,0,502,0,0,22,0,0,
2015,8,2015-08-06,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",0,0,0,502,,,,,,
2015,8,2015-08-07,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",1,7,0,502,,,,,,
2015,8,2015-08-10,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",0,0,0,502,,,,,,
2015,8,2015-08-11,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",0,21,0,502,0,0,21,0,0,
2015,8,2015-08-12,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",0,0,0,502,,,,,,
2015,8,2015-08-13,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",0,26,0,502,0,0,26,0,0,
2015,8,2015-08-14,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",0,0,0,502,,,,,,
2015,8,2015-08-17,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",0,0,0,502,,,,,,
2015,8,2015-08-18,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",50,38,0,502,38,0,0,0,0,
2015,8,2015-08-19,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",0,0,0,502,,,,,,
2015,8,2015-08-20,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",0,6,0,502,,,,,,
2015,8,2015-08-21,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",100,103,0,502,100,0,3,0,0,
2015,8,2015-08-22,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",231,197,0,502,197,0,0,0,0,
2015,8,2015-08-24,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",38,37,0,502,37,0,0,0,0,
2015,8,2015-08-25,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",47,42,0,502,42,0,0,0,0,
2015,8,2015-08-26,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",56,56,0,502,56,0,0,0,0,
2015,8,2015-08-27,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",,,1,502,,,,,,
2015,8,2015-08-28,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",16,2,0,502,,,,,,
2015,8,2015-08-29,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",0,0,0,502,,,,,,
2015,8,2015-08-31,MQ,20398,MQ,12953,LGA,"New York, NY",11433,DTW,"Detroit, MI",68,68,0,502,68,0,0,0,0,
2015,8,2015-08-02,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",0,0,0,461,,,,,,
2015,8,2015-08-03,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",0,0,0,461,,,,,,
2015,8,2015-08-04,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",0,0,0,461,,,,,,
2015,8,2015-08-05,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",0,0,0,461,,,,,,
2015,8,2015-08-06,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",33,27,0,461,0,0,0,0,27,
2015,8,2015-08-07,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",26,28,0,461,0,0,2,0,26,
2015,8,2015-08-09,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",49,31,0,461,31,0,0,0,0,
2015,8,2015-08-10,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",0,0,0,461,,,,,,
2015,8,2015-08-11,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",185,166,0,461,0,0,0,0,166,
2015,8,2015-08-12,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",0,1,0,461,,,,,,
2015,8,2015-08-13,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",0,0,0,461,,,,,,
2015,8,2015-08-14,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",0,0,0,461,,,,,,
2015,8,2015-08-16,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",0,0,0,461,,,,,,
2015,8,2015-08-17,MQ,20398,MQ,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",0,0,0,461,,,,,,
2015,8,2015-08-01,MQ,20398,MQ,12953,LGA,"New York, NY",10990,CHO,"Charlottesville, VA",0,0,0,305,,,,,,
2015,8,2015-08-02,MQ,20398,MQ,12953,LGA,"New York, NY",10990,CHO,"Charlottesville, VA",8,0,0,305,,,,,,
2015,8,2015-08-03,MQ,20398,MQ,12953,LGA,"New York, NY",10990,CHO,"Charlottesville, VA",1,0,0,305,,,,,,
2015,8,2015-08-04,MQ,20398,MQ,12953,LGA,"New York, NY",10990,CHO,"Charlottesville, VA",23,0,0,305,,,,,,
2015,8,2015-08-05,MQ,20398,MQ,12953,LGA,"New York, NY",10990,CHO,"Charlottesville, VA",0,0,0,305,,,,,,
2015,8,2015-08-06,MQ,20398,MQ,12953,LGA,"New York, NY",10990,CHO,"Charlottesville, VA",89,94,0,305,0,0,5,0,89,
2015,8,2015-08-07,MQ,20398,MQ,12953,LGA,"New York, NY",10990,CHO,"Charlottesville, VA",21,40,0,305,21,0,19,0,0,
2015,8,2015-08-08,MQ,20398,MQ,12953,LGA,"New York, NY",10990,CHO,"Charlottesville, VA",0,0,0,305,,,,,,
2015,8,2015-08-09,MQ,20398,MQ,12953,LGA,"New York, NY",10990,CHO,"Charlottesville, VA",0,0,0,305,,,,,,
2015,8,2015-08-10,MQ,20398,MQ,12953,LGA,"New York, NY",10990,CHO,"Charlottesville, VA",0,0,0,305,,,,,,
2015,8,2015-08-11,MQ,20398,MQ,12953,LGA,"New York, NY",10990,CHO,"Charlottesville, VA",14,3,0,305,,,,,,
2015,8,2015-08-12,MQ,20398,MQ,12953,LGA,"New York, NY",10990,CHO,"Charlottesville, VA",0,4,0,305,,,,,,
2015,8,2015-08-13,MQ,20398,MQ,12953,LGA,"New York, NY",10990,CHO,"Charlottesville, VA",0,0,0,305,,,,,,
2015,8,2015-08-14,MQ,20398,MQ,12953,LGA,"New York, NY",10990,CHO,"Charlottesville, VA",9,5,0,305,,,,,,
2015,8,2015-08-15,MQ,20398,MQ,12953,LGA,"New York, NY",10990,CHO,"Charlottesville, VA",11,50,0,305,0,0,39,0,11,
2015,8,2015-08-16,MQ,20398,MQ,12953,LGA,"New York, NY",10990,CHO,"Charlottesville, VA",0,0,0,305,,,,,,
2015,8,2015-08-17,MQ,20398,MQ,12953,LGA,"New York, NY",10990,CHO,"Charlottesville, VA",0,0,0,305,,,,,,
